CostCenterCode,LocationCode,CDSCode,School,Charter,SchoolYear,BeforeSchoolGrantProgram,AfterSchoolGeneralFundedPrograms,AfterSchoolGrantProgram
1194801,1948,19647336060461,Lowman Sp Ed & CTC,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1194901,1949,19647336060529,Marlton School,Traditional Schools,2021-2022,NA,NA,LA's BEST
1201401,2014,19647336015705,Albion St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1202701,2027,19647336015713,Aldama El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1204101,2041,19647336015721,Alexandria Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1204201,2042,19647330109314,Harvard El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1206801,2068,19647336015739,Allesandro El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1208201,2082,19647336015747,Alta Loma El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1208901,2089,19647336015754,Ambler Ave El,Traditional Schools,2021-2022,NA,Youth Services,Gang Alternatives Program
1209601,2096,19647336015762,Amestoy El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1211001,2110,19647336015770,Anatola Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1211701,2117,19647336015796,Andasol Ave El,Traditional Schools,2021-2022,NA,Youth Services,L.A. Conservation Corps
1212301,2123,19647336015804,Angeles Mesa El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1213701,2137,19647336015812,Ann St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1214601,2146,19647336015820,Annalee Ave El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1215101,2151,19647336015838,Annandale El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1216401,2164,19647336015846,Apperson St El,Traditional Schools,2021-2022,NA,Youth Services,NA
1217801,2178,19647336015853,Aragon Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1219201,2192,19647336015861,Arlington Hts El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1220501,2205,19647336015879,Arminta St El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1221901,2219,19647336015887,Ascot Ave El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,Youth Development Program
1223301,2233,19647336015895,Atwater Ave El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1224701,2247,19647336015903,Avalon Gardens El,Traditional Schools,2021-2022,NA,Youth Services,Youth Development Program
1225001,2250,19647330125096,Acad Enrich Sci Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1226901,2269,19647336100069,Balboa El G/HG/HA Mag,Traditional Schools,2021-2022,NA,Youth Services,NA
1227401,2274,19647336015929,Baldwin Hills El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1228801,2288,19647336015945,Bandini St El,Traditional Schools,2021-2022,Ready-Set-Go!,Youth Services,LA's BEST
1230101,2301,19647330111955,De la Torre Jr El,Traditional Schools,2021-2022,NA,Youth Services,Woodcraft Rangers
1230201,2302,19647330126441,Obama El,Traditional Schools,2021-2022,NA,Youth Services,LA's BEST
1230301,2303,19647330126607,Porter Ranch School,Traditional Schools,2021-2022,NA,Youth Services,NA
1230601,2306,19647330126383,Playa Vista El,Traditional Schools,2021-2022,NA,Youth Services,NA
1230701,2307,19647330128710,Lee El Med Hlth Mag,Traditional Schools,2021-2022,NA,Youth Services,Creative Brain Learning
