,School Name,BD,Region,"Before SchoolGrant Program",After School Grant Program,Youth Services
,107TH ST EL,7,South,Ready-Set-Go!,Youth Development Program,Youth Services
,109TH ST EL,7,South,,LA's Best,Youth Services
,10TH ST EL,2,East,Ready-Set-Go!,Youth Development Program,Youth Services
,112TH ST EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,116TH ST EL,7,South,,LA's Best,Youth Services
,118TH ST EL,7,South,,Youth Development Program,Youth Services
,122ND ST EL,7,South,,Kids Protectors of the Environment,Youth Services
,135TH ST EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,153RD ST EL,7,South,,Youth Development Program,Youth Services
,156TH ST EL,7,South,,Youth Development Program,Youth Services
,15TH ST EL,7,South,Ready-Set-Go!,LA's Best,Youth Services
,186TH ST EL,7,South,,South Bay Center for Counseling,Youth Services
,1ST ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
,20TH ST EL,5,East,Ready-Set-Go!,LA's Best,Youth Services
,232ND PL EL,7,South,,Gang Alternatives Program,Youth Services
,24TH ST EL,1,South,,Youth Development Program,Youth Services
,28TH ST EL,5,East,Ready-Set-Go!,LA's Best,Youth Services
,2ND ST EL,2,East,,LA's Best,Youth Services
,32ND ST USC PA MAGNET,1,South,,YS PLUS,Youth Services
,3RD ST EL,4,West,,tbd,Youth Services
,42ND ST EL,1,South,,LA's Best,Youth Services
,49TH ST EL,7,East,Ready-Set-Go!,LA's Best,Youth Services
,4TH ST EL,2,East,,Youth Development Program,Youth Services
,4TH ST PC,2,East,,STAR Education,
,52ND ST EL,1,South,,L.A. Conservation Corps,Youth Services
,54TH ST EL,1,West,,Youth Development Program,Youth Services
,59TH ST EL,1,South,,STAR Education,Youth Services
,61ST ST EL,1,South,,Children Youth Family Collaborative,Youth Services
,66TH ST EL,7,South,,Youth Development Program,Youth Services
,6TH AVE EL,1,West,,Youth Development Program,Youth Services
,74TH ST EL,1,South,,Youth Development Program,Youth Services
,75TH ST EL,7,South,Ready-Set-Go!,Youth Development Program,Youth Services
,7TH ST EL AI MAGNET,7,South,,tbd,Youth Services
,92ND ST EL,7,South,,LA's Best,Youth Services
,93RD ST EL,7,South,,Woodcraft Rangers,Youth Services
,95TH ST EL,1,South,,Youth Development Program,Youth Services
,96TH ST EL,7,South,,Youth Development Program,Youth Services
,99TH ST EL,7,South,Ready-Set-Go!,Woodcraft Rangers,Youth Services
,9TH ST EL,2,East,,Youth Development Program,Youth Services
,ACADEMY ENRICHED SCI MAGNET,3,North,,Boys & Girls Clubs of Carson,Youth Services
,ADAMS MS,5,East,,L.A. Conservation Corps,Youth Services
,ALBION ST EL,2,East,Ready-Set-Go!,LA's Best,Youth Services
